,alpha,d_1,s_1,d_2,s_2,pi_1,pi_2,type,nonneg
822,0.917800000000009,0.04034282188249661,0.07846642530700638,0.0373987044260461,0.04790845878151843,0.004346532331207301,-0.000757645364865972,multi,True
823,0.9177000000000091,0.04034967757901087,0.07849225517993494,0.03740150545584939,0.04789329018028301,0.004346045625891087,-0.0007676379972679434,multi,True
824,0.9176000000000091,0.04035653518765805,0.07851809139497459,0.037404307124279265,0.04787811786956989,0.0043455589475495625,-0.0007776417443312155,multi,True
825,0.9175000000000091,0.04036339470909624,0.07854393395398628,0.037407109431505506,0.047862941848302455,0.004345072296223889,-0.0007876566215715749,multi,True
826,0.9174000000000091,0.04037025614398368,0.07856978285883748,0.03740991237769435,0.04784776211539225,0.00434458567195525,-0.0007976826445350261,multi,True
827,0.9173000000000091,0.04037711949298136,0.07859563811140276,0.03741271596301477,0.047832578669751935,0.004344099074784041,-0.0008077198287966174,multi,True
828,0.9172000000000091,0.04038398475674568,0.07862149971354124,0.03741552018763337,0.04781739151029974,0.004343612504752289,-0.0008177681899537029,multi,True
829,0.9171000000000091,0.04039085193593794,0.0786473676671311,0.037418325051717216,0.04780220063594164,0.004343125961900467,-0.0008278277436377561,multi,True
830,0.9170000000000091,0.040397721031216825,0.07867324197403507,0.037421130555435736,0.04778700604559855,0.0043426394462700805,-0.0008378985055018523,multi,True
831,0.9169000000000092,0.04040459204324333,0.07869912263612905,0.037423936698955926,0.047771807738178684,0.004342152957902095,-0.0008479804912311624,multi,True
832,0.9168000000000092,0.04041146497267604,0.07872500965527547,0.037426743482446755,0.047756605712602096,0.00434166649683824,-0.0008580737165337655,multi,True
833,0.9167000000000092,0.04041833982017605,0.07875090303335291,0.03742955090607443,0.047741399967772616,0.004341180063119456,-0.0008681781971514426,multi,True
834,0.9166000000000092,0.04042521658640568,0.07877680277223566,0.0374323589700086,0.047726190502604515,0.0043406936567867566,-0.0008782939488511813,multi,True
835,0.9165000000000092,0.04043209527202316,0.07880270887378991,0.03743516767441608,0.04771097731601057,0.0043402072778820685,-0.0008884209874258789,multi,True
836,0.9164000000000092,0.04043897587769087,0.07882862133989102,0.03743797701946527,0.047695760406902446,0.004339720926446751,-0.00089855932869831,multi,True
837,0.9163000000000092,0.04044585840407015,0.07885454017241415,0.03744078700532502,0.047680539774190414,0.004339234602521893,-0.0009087089885199831,multi,True
838,0.9162000000000092,0.04045274285182335,0.07888046537323486,0.03744359763216245,0.047665315416783316,0.0043387483061491615,-0.0009188699827697407,multi,True
839,0.9161000000000092,0.04045962922161143,0.07890639694422434,0.03744640890014682,0.047650087333595464,0.004338262037370167,-0.0009290423273531833,multi,True
840,0.9160000000000093,0.0404665175140969,0.07893233488726058,0.03744922080944568,0.04763485552353445,0.0043377757962264635,-0.0009392260382060803,multi,True
841,0.9159000000000093,0.04047340772994164,0.07895827920422023,0.037452033360227156,0.04761961998550823,0.004337289582759517,-0.0009494211312923977,multi,True
842,0.9158000000000093,0.04048029986980849,0.07898422989697725,0.037454846552659724,0.047604380718429304,0.004336803397011299,-0.000959627622602364,multi,True
843,0.9157000000000093,0.040487193934361766,0.07901018696741538,0.037457660386912686,0.04758913772120355,0.004336317239022811,-0.0009698455281584115,multi,True
844,0.9156000000000093,0.04049408992426244,0.07903615041740646,0.03746047486315367,0.047573890992742174,0.00433583110883636,-0.0009800748640070248,multi,True
845,0.9155000000000093,0.040500987840174946,0.07906212024883007,0.03746328998155117,0.04755864053195273,0.004335345006493603,-0.0009903156462256913,multi,True
846,0.9154000000000093,0.04050788768276312,0.07908809646356962,0.03746610574227317,0.047543386337739614,0.004334858932036143,-0.0010005678909214902,multi,True
847,0.9153000000000093,0.040514789452691415,0.07911407906350239,0.037468922145489816,0.047528128409014936,0.004334372885505764,-0.0010108316142277071,multi,True
848,0.9152000000000093,0.04052169315062159,0.07914006805050268,0.03747173919136854,0.04751286674468757,0.004333886866944938,-0.0010211068323054667,multi,True
849,0.9151000000000094,0.0405285987772208,0.07916606342646317,0.037474556880078023,0.04749760134365705,0.0043334008763947374,-0.0010313935613505323,multi,True
850,0.9150000000000094,0.04053550633315169,0.07919206519325768,0.037477375211786755,0.04748233220483424,0.004332914913897673,-0.0010416918175810497,multi,True
