,alpha,d_1,s_1,d_2,s_2,pi_1,pi_2,type,nonneg
4478,0.5522000000000493,0.13621100054135143,0.2088933249074953,2.834129525955765e-05,6.500384185691078e-05,0.04450500776954551,-1.4596374570307246e-06,single,True
4479,0.5521000000000493,0.13624030761510467,0.20892148332926322,2.8080977400652803e-05,6.440783985899602e-05,0.04451869222819131,-1.4488415295561328e-06,single,True
4480,0.5520000000000493,0.136269618592361,0.2089496854174511,2.785799701368122e-05,6.389746068261573e-05,0.044532366315193486,-1.4399366124933457e-06,single,True
4481,0.5519000000000494,0.13629890368926223,0.20897779637948485,2.7657506092913623e-05,6.343864687261291e-05,0.04454603521222301,-1.4321520396907255e-06,single,True
4482,0.5518000000000494,0.13632818124600474,0.20900588835414877,2.7481523784121233e-05,6.303603480560754e-05,0.044559698537256685,-1.425604343190223e-06,single,True
4483,0.5517000000000494,0.13635745288826873,0.20903396412791403,2.732716971547974e-05,6.26830203093193e-05,0.044573357467358174,-1.4201503688611478e-06,single,True
4484,0.5516000000000494,0.13638671997697482,0.20906202602217727,2.7192034428896166e-05,6.237407896807773e-05,0.04458701298732233,-1.4156704661537086e-06,single,True
4485,0.5515000000000494,0.13641598369237135,0.2090900760381193,2.707404271772673e-05,6.210445272777588e-05,0.044600665945607326,-1.4120615633524462e-06,single,True
4486,0.5514000000000494,0.13644524498632857,0.2091181158032844,2.6971439032912384e-05,6.187011648119596e-05,0.044614317059549345,-1.4092365504286654e-06,single,True
4487,0.5513000000000494,0.1364745047374311,0.20914614679547056,2.6882689129873393e-05,6.166755251517629e-05,0.04462796695682522,-1.4071192791177823e-06,single,True
4488,0.5512000000000494,0.13650376369945955,0.20917417028374452,2.6806472435722498e-05,6.1493733041749e-05,0.04464161617784791,-1.4056442576496832e-06,single,True
4489,0.5511000000000494,0.13653302251738636,0.2092021873572371,2.6741620809657083e-05,6.134597975366314e-05,0.044655265200525776,-1.4047535240817633e-06,single,True
4490,0.5510000000000495,0.13656228177773486,0.2092301989947016,2.6687126579855955e-05,6.122198229189947e-05,0.04466891443767855,-1.4043971463232151e-06,single,True
4491,0.5509000000000495,0.13659154197368065,0.20925820602824158,2.6642095030269884e-05,6.111968927476576e-05,0.04468256425565312,-1.404530780339242e-06,single,True
4492,0.5508000000000495,0.13662080356139258,0.2092862092183242,2.660573116451157e-05,6.103727795532543e-05,0.04469621498034797,-1.4051150271858313e-06,single,True
4493,0.5507000000000495,0.13665006694169762,0.20931420923678143,2.6577327297155917e-05,6.0973125771923604e-05,0.04470986690196476,-1.4061148190064735e-06,single,True
4494,0.5506000000000495,0.13667933245700037,0.20934220665839845,2.6556254383579818e-05,6.092579047362964e-05,0.04472352027841156,-1.4074989979158333e-06,single,True
4495,0.5505000000000495,0.13670860046212704,0.20937020206432239,2.6541948028674883e-05,6.08939780371155e-05,0.04473717534187149,-1.4092396155094795e-06,single,True
4496,0.5504000000000495,0.13673787123868358,0.20939819592681938,2.6533896646367463e-05,6.087651551124303e-05,0.04475083230241101,-1.4113113217800066e-06,single,True
4497,0.5503000000000495,0.13676714502552398,0.20942618865110174,2.6531640805869258e-05,6.087234952801346e-05,0.04476449134863615,-1.4136913580709965e-06,single,True
4498,0.5502000000000495,0.13679649203651126,0.2094543711371749,2.6552299322566623e-05,6.092076663287644e-05,0.0447781469491471,-1.4173116401551204e-06,single,True
4499,0.5501000000000495,0.136825772390277,0.2094823630304711,2.656028183543548e-05,6.09400925532587e-05,0.04479181072402269,-1.420242414738658e-06,single,True
4500,0.5500000000000496,0.13685505649809845,0.2095103549221402,2.657291858724564e-05,6.097009826100819e-05,0.04480547705556276,-1.423424950267786e-06,single,True
4501,0.5499000000000496,0.13688434450443782,0.20953834707141344,2.6589892366197787e-05,6.1010056453308e-05,0.044819146074198644,-1.426843510305093e-06,single,True
4502,0.5498000000000496,0.13691363658462732,0.20956633977227268,2.6610911477202682e-05,6.105929832889949e-05,0.04483281790054895,-1.430483618386274e-06,single,True
4503,0.5497000000000496,0.1369429328987518,0.2095943332913633,2.6635707863205353e-05,6.111720928093541e-05,0.04484649264555485,-1.4343319634168029e-06,single,True
